house_id,city,area_sqm,bedrooms,bathrooms,parking_spaces,property_type,year_built,distance_to_city_center_km,electricity_hours_per_day,price_ngn
HOUSE_0056,Port Harcourt,43.25,1,2,2,Duplex,1994.0,7.87,16.0,84248014
HOUSE_0057,Ibadan,122.41,1,3,2,Bungalow,2016.0,20.32,16.0,79810380
HOUSE_0058,Ibadan,112.31,5,2,1,Duplex,2014.0,9.51,11.0,98321572
HOUSE_0059,Enugu,118.61,3,4,0,Duplex,2008.0,2.16,12.0,97834361
HOUSE_0060,Enugu,165.71,5,3,3,Duplex,2018.0,11.76,12.0,107663595
HOUSE_0061,Port Harcourt,151.64,2,1,2,Bungalow,2011.0,3.45,8.0,126965314
HOUSE_0062,Abuja,176.11,3,2,1,Flat,1991.0,0.99,7.0,147258896
HOUSE_0063,Port Harcourt,143.47,5,1,3,Duplex,2002.0,18.95,18.0,113570271
HOUSE_0064,Port Harcourt,80.38,2,2,0,Flat,2017.0,5.17,13.0,93679379
HOUSE_0065,Enugu,123.99,4,1,1,Flat,2019.0,5.48,10.0,98764658
HOUSE_0066,Port Harcourt,57.97,5,3,3,Bungalow,2022.0,8.34,19.0,105617349
HOUSE_0067,Enugu,77.51,4,2,3,Duplex,2006.0,10.37,13.0,77181931
HOUSE_0068,Ibadan,83.22,5,4,1,Duplex,2018.0,15.75,8.0,83499356
HOUSE_0069,Ibadan,88.67,2,3,2,Duplex,,6.39,8.0,77987984
HOUSE_0070,Abuja,152.54,2,4,1,Bungalow,2003.0,1.85,8.0,141929569
HOUSE_0071,Port Harcourt,129.1,3,4,3,Flat,2003.0,14.54,19.0,112170775
HOUSE_0072,Enugu,55.7,1,4,3,Flat,2012.0,8.92,15.0,69932448
HOUSE_0073,Port Harcourt,130.4,4,2,3,Flat,2007.0,11.91,19.0,116894079
HOUSE_0074,Lagos,70.52,4,3,3,Bungalow,2000.0,1.4,20.0,134643929
HOUSE_0075,Enugu,140.88,5,1,3,Bungalow,1991.0,9.48,8.0,98514730
HOUSE_0076,Port Harcourt,130.02,2,4,1,Flat,2006.0,9.73,18.0,114122965
HOUSE_0077,Abuja,92.8,4,3,2,Duplex,2007.0,9.16,19.0,119620066
HOUSE_0078,Lagos,131.72,4,1,0,Duplex,2004.0,4.43,8.0,153193929
HOUSE_0079,Lagos,194.63,1,2,1,Flat,1999.0,10.37,13.0,154094479
HOUSE_0080,Port Harcourt,72.35,1,2,3,Bungalow,2006.0,11.28,17.0,83300785
HOUSE_0081,Enugu,81.01,5,1,1,Duplex,1996.0,11.94,,66657268
HOUSE_0082,Ibadan,166.34,5,4,3,Bungalow,2002.0,3.9,8.0,124774091
HOUSE_0083,Abuja,158.54,1,3,0,Bungalow,1992.0,10.06,17.0,137553247
HOUSE_0084,Port Harcourt,152.88,3,1,2,Flat,2016.0,17.48,21.0,108903490
HOUSE_0085,Port Harcourt,110.18,3,4,1,Duplex,2001.0,4.23,,118101430
HOUSE_0086,Ibadan,84.42,5,4,3,Duplex,2007.0,3.92,16.0,95061522
HOUSE_0087,Lagos,116.92,3,4,1,Duplex,2014.0,9.71,16.0,135850082
HOUSE_0088,Port Harcourt,131.07,3,2,3,Flat,2012.0,12.14,14.0,108915609
HOUSE_0089,Ibadan,120.52,5,3,0,Bungalow,2002.0,15.27,8.0,87707308
HOUSE_0090,Port Harcourt,109.41,4,2,3,Bungalow,2021.0,21.6,20.0,103678010
HOUSE_0091,Lagos,145.03,1,3,1,Duplex,2005.0,3.71,15.0,156446742
HOUSE_0092,Enugu,77.16,3,4,2,Duplex,2011.0,10.41,17.0,81007454
HOUSE_0093,Port Harcourt,111.06,3,3,2,Flat,1997.0,11.57,12.0,102481537
HOUSE_0094,Lagos,138.93,5,2,1,Flat,2020.0,7.64,14.0,158513845
HOUSE_0095,Enugu,86.13,5,3,0,Flat,2008.0,0.43,13.0,91483466
HOUSE_0096,Abuja,102.14,3,1,1,Duplex,1992.0,12.28,7.0,111496612
HOUSE_0097,Ibadan,128.56,2,4,0,Flat,2008.0,1.77,21.0,112504803
HOUSE_0098,Port Harcourt,126.93,3,2,0,Duplex,2020.0,9.93,9.0,115201343
HOUSE_0099,Lagos,84.65,4,4,0,Bungalow,1993.0,8.77,10.0,126605115
HOUSE_0100,Enugu,122.33,3,1,1,Flat,2016.0,2.29,13.0,100880900
HOUSE_0101,Enugu,134.31,4,4,3,Duplex,2017.0,10.8,15.0,99589042
HOUSE_0102,Enugu,163.32,1,1,1,Bungalow,2003.0,13.27,14.0,95718862
HOUSE_0103,Lagos,64.89,2,2,1,Bungalow,1994.0,3.31,11.0,116385519
HOUSE_0104,Port Harcourt,140.6,4,4,2,Flat,2004.0,10.57,15.0,126387243
HOUSE_0105,Ibadan,140.6,4,1,1,Duplex,2002.0,27.26,19.0,79324293
HOUSE_0106,Enugu,142.84,2,2,2,Flat,1994.0,13.68,7.0,79560189
HOUSE_0107,Ibadan,158.16,5,3,3,Flat,2019.0,11.26,15.0,117583607
HOUSE_0108,Port Harcourt,107.39,3,4,3,Flat,1992.0,11.79,19.0,113661664
HOUSE_0109,Ibadan,89.09,5,3,0,Flat,2004.0,6.82,,95046734
HOUSE_0110,Lagos,100.59,3,1,1,Duplex,,8.41,20.0,133779602
HOUSE_0111,Abuja,212.59,5,4,3,Flat,2020.0,1.34,17.0,176348163
HOUSE_0112,Ibadan,147.45,3,1,1,Duplex,2016.0,0.06,21.0,115971134
HOUSE_0113,Port Harcourt,101.12,5,1,3,Flat,2010.0,13.44,14.0,100088587
HOUSE_0114,Lagos,122.57,4,1,3,Duplex,1993.0,2.61,12.0,150165889
HOUSE_0115,Ibadan,91.39,5,4,3,Flat,2003.0,11.4,14.0,92420124
HOUSE_0116,Abuja,90.79,3,4,3,Flat,1991.0,9.08,13.0,122087046
HOUSE_0117,Abuja,121.82,3,1,3,Flat,2004.0,4.74,9.0,127091815
HOUSE_0118,Lagos,205.76,2,4,2,Bungalow,2007.0,11.17,19.0,172106216
HOUSE_0119,Port Harcourt,40.0,2,4,1,Duplex,2002.0,8.93,,87004711
HOUSE_0120,Abuja,93.53,1,3,3,Duplex,2022.0,12.26,14.0,115189524
HOUSE_0121,Lagos,88.3,3,3,3,Flat,2018.0,7.43,,132314609
HOUSE_0122,Ibadan,140.2,3,4,3,Duplex,2002.0,12.33,13.0,103166993
HOUSE_0123,Port Harcourt,71.99,2,4,0,Duplex,2020.0,6.33,18.0,98877176
HOUSE_0124,Abuja,101.0,4,1,1,Bungalow,2011.0,4.73,9.0,121961877
HOUSE_0125,Lagos,190.62,5,4,0,Bungalow,1999.0,10.02,19.0,178577766
HOUSE_0126,Abuja,69.56,1,4,2,Duplex,2015.0,12.59,8.0,96052039
HOUSE_0127,Enugu,204.89,4,3,3,Bungalow,1992.0,13.16,8.0,110156977
HOUSE_0128,Ibadan,59.23,2,1,3,Flat,1996.0,5.58,20.0,73323957
HOUSE_0129,Ibadan,170.68,1,1,2,Flat,2008.0,4.46,17.0,112873545
HOUSE_0130,Port Harcourt,137.75,2,2,3,Bungalow,2001.0,11.87,11.0,104506647
HOUSE_0131,Lagos,82.92,5,4,1,Duplex,1999.0,7.7,13.0,136819784
HOUSE_0132,Ibadan,40.0,4,3,0,Duplex,2008.0,2.88,,72894391
HOUSE_0133,Lagos,109.9,4,3,2,Bungalow,2017.0,1.76,14.0,149916478
HOUSE_0134,Ibadan,185.3,2,4,3,Flat,2005.0,0.85,18.0,133229028
HOUSE_0135,Ibadan,102.4,5,3,2,Flat,2015.0,8.65,14.0,88995238
HOUSE_0136,Enugu,177.65,1,4,2,Flat,2012.0,0.82,13.0,119174501
HOUSE_0137,Abuja,166.53,5,3,1,Bungalow,1996.0,8.05,7.0,143007325
HOUSE_0138,Port Harcourt,80.74,1,3,1,Flat,2008.0,10.31,16.0,98027525
HOUSE_0139,Port Harcourt,127.96,2,2,1,Bungalow,2013.0,5.0,,115405554
HOUSE_0140,Ibadan,122.79,2,3,3,Duplex,2011.0,6.07,9.0,96450525
HOUSE_0141,Lagos,124.54,2,2,3,Bungalow,2013.0,11.31,8.0,139082684
HOUSE_0142,Port Harcourt,183.44,1,3,0,Duplex,2013.0,1.81,14.0,140239525
HOUSE_0143,Port Harcourt,205.32,3,1,1,Duplex,1991.0,1.76,,144453499
HOUSE_0144,Enugu,113.93,2,1,3,Bungalow,2009.0,10.94,19.0,77604505
HOUSE_0145,Abuja,131.24,1,1,2,Duplex,1997.0,4.89,9.0,121405176
HOUSE_0146,Enugu,111.68,2,4,3,Duplex,,5.53,19.0,95704223
HOUSE_0147,Abuja,96.43,4,1,3,Bungalow,2016.0,12.25,14.0,107497781
HOUSE_0148,Ibadan,134.28,2,4,3,Flat,2013.0,4.54,9.0,107454021
HOUSE_0149,Ibadan,155.98,5,3,0,Duplex,2007.0,9.54,12.0,107395897
HOUSE_0150,Port Harcourt,152.51,1,2,0,Flat,2011.0,11.15,13.0,108412721
HOUSE_0151,Enugu,86.84,2,1,1,Bungalow,2003.0,5.2,13.0,74966383
HOUSE_0152,Abuja,149.89,5,1,2,Flat,1998.0,11.05,,132607389
HOUSE_0153,Abuja,119.16,1,1,1,Flat,2012.0,8.59,13.0,121078689
HOUSE_0154,Ibadan,171.11,1,2,2,Flat,1998.0,5.04,19.0,117565558
HOUSE_0155,Lagos,141.88,1,4,3,Duplex,2022.0,6.99,,141800985
HOUSE_0156,Port Harcourt,111.29,5,2,0,Bungalow,,13.49,15.0,107949141
HOUSE_0157,Lagos,153.02,1,4,3,Duplex,1996.0,12.07,21.0,155123938
HOUSE_0158,Port Harcourt,172.22,1,1,2,Bungalow,1999.0,8.11,8.0,114461846
HOUSE_0159,Ibadan,147.28,5,3,3,Bungalow,,6.45,15.0,115419422
HOUSE_0160,Enugu,132.97,5,4,0,Bungalow,1997.0,7.35,,106512014
HOUSE_0161,Abuja,123.88,4,4,1,Duplex,2011.0,10.98,20.0,132871525
HOUSE_0162,Port Harcourt,87.27,1,3,3,Duplex,2006.0,18.46,17.0,81153766
HOUSE_0163,Port Harcourt,79.76,1,1,0,Flat,2017.0,1.93,9.0,100491885
HOUSE_0164,Ibadan,166.32,2,1,2,Bungalow,1997.0,11.96,19.0,105693943
HOUSE_0165,Port Harcourt,144.96,1,3,2,Duplex,1996.0,11.14,,113082646
HOUSE_0166,Abuja,119.51,2,4,1,Flat,2012.0,3.51,,129983196
HOUSE_0167,Lagos,123.03,3,2,3,Bungalow,1991.0,4.61,14.0,139915016
HOUSE_0168,Abuja,159.0,3,3,2,Duplex,1990.0,7.26,11.0,135943037
HOUSE_0169,Enugu,86.98,4,1,1,Bungalow,1991.0,6.39,8.0,82592717
HOUSE_0170,Enugu,136.52,2,4,3,Duplex,2011.0,5.18,11.0,96373500
HOUSE_0171,Ibadan,87.11,3,1,0,Flat,2000.0,9.22,7.0,81932232
HOUSE_0172,Lagos,129.8,3,4,3,Duplex,2018.0,5.47,19.0,151348510
HOUSE_0173,Abuja,101.16,5,1,2,Duplex,1997.0,9.16,15.0,126792071
HOUSE_0174,Enugu,62.08,4,3,0,Flat,2015.0,0.96,7.0,70403786
HOUSE_0175,Abuja,91.26,3,2,1,Duplex,2008.0,6.93,16.0,113738783
HOUSE_0176,Lagos,132.44,4,4,1,Flat,2014.0,15.38,,145902349
HOUSE_0177,Abuja,154.31,5,3,0,Duplex,1992.0,7.2,19.0,142081664
HOUSE_0178,Port Harcourt,119.24,1,3,3,Bungalow,2015.0,2.99,19.0,114403032
HOUSE_0179,Lagos,119.26,4,1,2,Flat,2019.0,6.56,17.0,140047390
HOUSE_0180,Port Harcourt,132.91,1,2,3,Bungalow,2015.0,3.86,,108905538
HOUSE_0181,Port Harcourt,140.77,3,3,1,Duplex,2000.0,15.66,8.0,108843339
HOUSE_0182,Lagos,115.65,5,2,2,Duplex,1999.0,10.01,13.0,136490130
HOUSE_0183,Abuja,147.61,3,2,1,Bungalow,1999.0,5.99,8.0,130746033
HOUSE_0184,Port Harcourt,128.96,4,4,2,Bungalow,2010.0,8.06,10.0,117843289
HOUSE_0185,Lagos,123.91,4,4,2,Duplex,1993.0,4.13,17.0,156123165
HOUSE_0186,Lagos,120.98,3,4,3,Flat,1993.0,10.49,17.0,150408696
HOUSE_0187,Ibadan,178.05,1,1,3,Duplex,1992.0,12.8,20.0,114542466
HOUSE_0188,Enugu,206.13,2,3,3,Bungalow,1999.0,4.16,7.0,119411077
HOUSE_0189,Lagos,154.89,3,1,1,Flat,2005.0,8.92,20.0,154880762
HOUSE_0190,Enugu,207.59,5,2,2,Duplex,2008.0,3.96,18.0,132063253
HOUSE_0191,Ibadan,86.41,5,1,2,Flat,2011.0,5.0,9.0,91004963
HOUSE_0192,Port Harcourt,40.0,3,3,1,Duplex,1995.0,5.37,,90889563
HOUSE_0193,Abuja,89.63,3,3,3,Flat,1995.0,8.75,15.0,119249298
HOUSE_0194,Port Harcourt,133.67,3,2,0,Bungalow,2017.0,17.38,,102699051
HOUSE_0195,Lagos,158.02,3,3,1,Flat,2011.0,5.12,21.0,159983246
HOUSE_0196,Abuja,84.06,2,2,0,Duplex,1996.0,10.46,,113003325
HOUSE_0197,Enugu,67.19,5,1,2,Bungalow,1998.0,17.16,18.0,61312666
HOUSE_0198,Abuja,167.18,2,2,3,Flat,2016.0,5.65,17.0,149279647
HOUSE_0199,Abuja,51.47,4,3,3,Flat,,14.77,13.0,95784125
HOUSE_0200,Port Harcourt,115.42,2,3,3,Duplex,2008.0,14.19,18.0,105105816
HOUSE_0201,Enugu,56.22,4,2,1,Bungalow,1998.0,5.0,14.0,66953443
HOUSE_0202,Port Harcourt,120.21,3,1,0,Duplex,1995.0,8.23,11.0,105374089
HOUSE_0203,Port Harcourt,102.0,5,2,3,Flat,2004.0,11.11,20.0,108732147
HOUSE_0204,Lagos,77.3,4,1,3,Bungalow,2013.0,7.29,13.0,127084105
HOUSE_0205,Lagos,124.81,3,2,0,Duplex,1996.0,10.57,16.0,147377301
HOUSE_0206,Abuja,148.46,2,1,2,Duplex,1998.0,2.38,21.0,143732891
HOUSE_0207,Enugu,58.64,1,1,0,Duplex,2003.0,14.39,10.0,53461808
HOUSE_0208,Enugu,133.29,5,4,0,Duplex,2005.0,4.26,15.0,102084672
HOUSE_0209,Lagos,182.05,2,4,3,Flat,1997.0,8.58,21.0,170031746
HOUSE_0210,Enugu,167.17,1,2,1,Duplex,2017.0,8.34,6.0,98916953
HOUSE_0211,Ibadan,202.43,2,4,1,Bungalow,1995.0,16.78,,112964397
HOUSE_0212,Lagos,110.04,5,1,3,Duplex,1992.0,12.86,18.0,137145475
HOUSE_0213,Ibadan,145.82,1,3,0,Duplex,2005.0,14.84,9.0,96570908
HOUSE_0214,Enugu,81.4,3,2,0,Duplex,,11.43,16.0,79523484
HOUSE_0215,Abuja,162.34,4,4,1,Flat,1994.0,0.79,20.0,152490427
HOUSE_0216,Ibadan,72.67,2,1,1,Flat,2010.0,2.2,15.0,84941081
HOUSE_0217,Port Harcourt,109.22,5,4,2,Flat,2002.0,11.59,15.0,110809336
HOUSE_0218,Lagos,180.09,3,3,0,Duplex,2017.0,8.37,18.0,171259631
HOUSE_0219,Port Harcourt,185.14,4,3,1,Duplex,2021.0,1.1,17.0,154556938
HOUSE_0220,Enugu,51.86,3,1,3,Flat,2017.0,7.72,11.0,64640186
HOUSE_0221,Ibadan,135.36,3,1,0,Duplex,2008.0,7.84,15.0,101450141
HOUSE_0222,Enugu,40.0,4,2,3,Duplex,2018.0,7.55,7.0,65333922
HOUSE_0223,Ibadan,67.82,5,4,2,Bungalow,1993.0,11.35,8.0,82678023
HOUSE_0224,Port Harcourt,134.66,3,2,0,Flat,2018.0,3.3,7.0,112990163
HOUSE_0225,Lagos,99.45,2,3,2,Duplex,1992.0,2.7,10.0,141458633
HOUSE_0226,Port Harcourt,117.49,3,3,3,Flat,1998.0,12.78,,104142890
HOUSE_0227,Port Harcourt,80.57,3,3,1,Flat,1991.0,10.52,11.0,95548403
HOUSE_0228,Enugu,98.79,4,1,2,Duplex,2018.0,4.04,12.0,89693988
HOUSE_0229,Ibadan,115.72,4,2,0,Flat,1994.0,2.82,20.0,103014267
HOUSE_0230,Port Harcourt,97.85,1,3,2,Bungalow,1994.0,2.01,,108133035
HOUSE_0231,Ibadan,198.59,3,2,1,Duplex,2022.0,8.18,13.0,118026275
HOUSE_0232,Abuja,92.01,2,2,3,Flat,2013.0,9.07,,114121063
HOUSE_0233,Ibadan,115.51,4,2,0,Flat,2009.0,6.9,18.0,105975556
HOUSE_0234,Port Harcourt,144.57,5,4,3,Bungalow,1994.0,11.79,10.0,119269174
HOUSE_0235,Lagos,98.78,4,4,2,Flat,2001.0,5.12,10.0,140687113
HOUSE_0236,Enugu,109.0,1,1,1,Duplex,2000.0,3.51,11.0,80950625
HOUSE_0237,Abuja,59.39,3,3,0,Duplex,2002.0,14.83,,94795849
HOUSE_0238,Abuja,185.8,3,1,1,Bungalow,1999.0,6.75,11.0,151581250
HOUSE_0239,Enugu,143.06,5,3,0,Flat,1995.0,9.56,7.0,101561604
HOUSE_0240,Enugu,243.16,3,2,3,Bungalow,1991.0,13.6,21.0,133406397
HOUSE_0241,Enugu,114.88,3,3,3,Flat,2015.0,3.22,15.0,95954360
HOUSE_0242,Lagos,55.74,1,2,3,Duplex,2020.0,9.02,20.0,112608689
HOUSE_0243,Ibadan,89.75,5,2,2,Bungalow,2010.0,0.89,17.0,100732443
HOUSE_0244,Abuja,94.14,3,1,2,Flat,2019.0,2.59,9.0,116727409
HOUSE_0245,Port Harcourt,187.49,2,2,0,Flat,2008.0,12.41,18.0,132852302
HOUSE_0246,Port Harcourt,119.68,2,2,2,Bungalow,2010.0,15.4,12.0,104411435
HOUSE_0247,Abuja,123.09,4,4,3,Duplex,2021.0,3.69,6.0,127765929
HOUSE_0248,Port Harcourt,180.92,5,4,1,Flat,2012.0,10.69,7.0,127043664
HOUSE_0249,Ibadan,78.51,4,4,2,Bungalow,1990.0,7.05,9.0,85648321
HOUSE_0250,Abuja,84.98,3,3,3,Duplex,1992.0,1.09,18.0,120091627
HOUSE_0251,Enugu,157.05,5,2,2,Bungalow,2008.0,17.55,8.0,91688342
HOUSE_0252,Enugu,64.06,4,3,0,Flat,1996.0,10.81,18.0,72009282
HOUSE_0253,Ibadan,93.97,5,3,1,Flat,2022.0,5.56,18.0,100408919
HOUSE_0254,Lagos,96.3,1,1,1,Bungalow,2011.0,3.68,21.0,137603442
HOUSE_0255,Port Harcourt,121.94,2,2,2,Bungalow,2010.0,3.85,11.0,112251985
HOUSE_0256,Enugu,130.82,3,3,3,Bungalow,2009.0,7.75,21.0,105772389
HOUSE_0257,Lagos,110.44,3,3,0,Duplex,2009.0,3.46,6.0,143117208
HOUSE_0258,Port Harcourt,96.93,3,2,0,Bungalow,2020.0,11.78,11.0,98684360
HOUSE_0259,Enugu,140.04,4,2,1,Flat,1997.0,3.11,12.0,96798556
HOUSE_0260,Port Harcourt,123.97,3,4,1,Duplex,2003.0,11.76,19.0,115597786
HOUSE_0261,Enugu,53.22,4,1,1,Bungalow,2003.0,10.72,,60917752
HOUSE_0262,Port Harcourt,93.5,5,4,2,Flat,2019.0,10.85,,104146561
HOUSE_0263,Enugu,89.47,3,3,3,Flat,2005.0,1.02,14.0,90853511
HOUSE_0264,Ibadan,54.9,2,3,2,Bungalow,2003.0,8.24,21.0,74745466
HOUSE_0265,Port Harcourt,130.39,3,3,2,Flat,,3.48,18.0,123879271
HOUSE_0266,Ibadan,145.54,2,3,0,Duplex,1995.0,0.31,17.0,115690133
HOUSE_0267,Ibadan,117.36,4,2,1,Bungalow,2007.0,1.94,,108626698
HOUSE_0268,Ibadan,93.93,2,1,1,Flat,1993.0,8.24,,78472435
HOUSE_0269,Abuja,85.58,1,1,3,Duplex,2020.0,6.08,9.0,111486717
HOUSE_0270,Abuja,160.25,1,2,3,Bungalow,2020.0,5.12,21.0,146958327
HOUSE_0271,Abuja,153.43,3,3,2,Bungalow,1993.0,2.35,8.0,146623445
HOUSE_0272,Enugu,141.19,2,1,1,Duplex,2001.0,15.21,7.0,79525721
HOUSE_0273,Port Harcourt,40.0,2,3,0,Flat,2009.0,4.02,,88989020
HOUSE_0274,Lagos,143.08,3,3,3,Bungalow,,6.98,,152189484
HOUSE_0275,Abuja,134.85,5,4,2,Flat,1997.0,4.98,16.0,140046243
HOUSE_0276,Port Harcourt,123.46,3,2,0,Bungalow,2011.0,7.22,15.0,116574045
HOUSE_0277,Abuja,166.71,2,4,3,Bungalow,2010.0,9.27,8.0,137749813
HOUSE_0278,Lagos,133.5,2,2,3,Duplex,2005.0,5.94,6.0,138573687
HOUSE_0279,Port Harcourt,100.5,2,4,2,Duplex,2009.0,5.84,,111493468
HOUSE_0280,Enugu,135.78,1,3,2,Bungalow,2005.0,5.9,7.0,93845920
HOUSE_0281,Lagos,131.59,4,3,1,Duplex,2022.0,18.38,15.0,142081997
HOUSE_0282,Lagos,154.84,3,3,1,Flat,1998.0,6.37,21.0,156721772
HOUSE_0283,Port Harcourt,168.05,5,3,3,Bungalow,2020.0,5.96,,142320237
HOUSE_0284,Abuja,40.0,2,1,3,Bungalow,2013.0,2.96,8.0,99213180
HOUSE_0285,Lagos,45.17,1,2,1,Flat,2010.0,6.24,,111433767
HOUSE_0286,Lagos,120.74,2,4,0,Bungalow,2018.0,16.38,7.0,128409188
HOUSE_0287,Abuja,133.08,5,4,3,Bungalow,1993.0,6.9,,139754403
HOUSE_0288,Ibadan,153.18,1,4,2,Flat,2003.0,3.06,,104864910
HOUSE_0289,Lagos,129.42,4,3,0,Bungalow,1993.0,11.85,8.0,141298643
HOUSE_0290,Lagos,60.86,3,4,1,Flat,2016.0,13.72,17.0,117952735
HOUSE_0291,Port Harcourt,133.54,4,4,0,Bungalow,,5.92,10.0,125599431
HOUSE_0292,Ibadan,145.31,1,2,3,Bungalow,1998.0,19.35,13.0,78997218
HOUSE_0293,Lagos,127.27,3,4,3,Bungalow,2014.0,9.24,13.0,141910689
HOUSE_0294,Port Harcourt,101.63,3,2,2,Flat,1997.0,3.75,7.0,112349737
HOUSE_0295,Port Harcourt,153.21,5,1,1,Flat,1994.0,3.72,9.0,131525430
HOUSE_0296,Lagos,122.86,4,1,1,Bungalow,1992.0,5.61,18.0,148934500
HOUSE_0297,Abuja,139.16,5,2,0,Flat,2022.0,9.67,15.0,133530295
HOUSE_0298,Enugu,161.5,3,3,1,Duplex,1999.0,5.45,,103894040
HOUSE_0299,Port Harcourt,109.21,3,3,0,Bungalow,2001.0,3.11,19.0,120215376
