order_id,customer_id,order_date,city,payment_method,product,category,quantity,unit_price_ngn,line_total_ngn
KNG-2024-00016,CUST-1207,2024-01-08 09:59,Kano,Konga Pay,Polo Shirt,Fashion - Men,1,5500,5500
KNG-2024-00017,CUST-1875,2024-03-25 19:00,Benin City,USSD,Black Castor Oil,Beauty & Personal,1,3800,3800
KNG-2024-00017,CUST-1875,2024-03-25 19:00,Benin City,USSD,Gele Headtie,Fashion - Women,2,6500,13000
KNG-2024-00020,CUST-1761,2024-04-30 19:07,Lagos,Card,Baby Wipes 80ct,Baby Products,1,3200,3200
KNG-2024-00021,CUST-1335,2024-09-24 17:59,Abuja,Bank Transfer,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00021,CUST-1335,2024-09-24 17:59,Abuja,Bank Transfer,Indomie Noodles (40pk),Food & Groceries,3,7500,22500
KNG-2024-00022,CUST-1409,2024-05-15 11:59,Lagos,Card,Dumbbell Set 10kg,Sports & Fitness,1,28000,28000
KNG-2024-00022,CUST-1409,2024-05-15 11:59,Lagos,Card,HP Laptop,Electronics,2,480000,960000
KNG-2024-00022,CUST-1409,2024-05-15 11:59,Lagos,Card,Ball Point Pens 10pk,Books & Stationery,1,1500,1500
KNG-2024-00022,CUST-1409,2024-05-15 11:59,Lagos,Card,Baby Carrier,Baby Products,1,15000,15000
KNG-2024-00022,CUST-1409,2024-05-15 11:59,Lagos,Card,A4 Paper Ream,Books & Stationery,3,4800,14400
KNG-2024-00023,CUST-1550,2024-10-10 11:17,Lagos,Pay on Delivery,Lace Blouse,Fashion - Women,3,9500,28500
KNG-2024-00023,CUST-1550,2024-10-10 11:17,Lagos,Pay on Delivery,Golden Penny Pasta,Food & Groceries,2,3500,7000
KNG-2024-00023,CUST-1550,2024-10-10 11:17,Lagos,Pay on Delivery,Dangote Sugar 1kg,Food & Groceries,1,2200,2200
KNG-2024-00023,CUST-1550,2024-10-10 11:17,Lagos,Pay on Delivery,Gele Headtie,Fashion - Women,1,6500,6500
KNG-2024-00024,CUST-2133,2024-03-07 15:10,Lagos,Konga Pay,Samsung Earbuds,Electronics,3,55000,165000
KNG-2024-00024,CUST-2133,2024-03-07 15:10,Lagos,Konga Pay,iPhone 15 Pro,Phones & Tablets,1,950000,950000
KNG-2024-00025,CUST-1610,2024-10-25 11:27,Port Harcourt,Pay on Delivery,Chinos Trouser,Fashion - Men,1,8500,8500
KNG-2024-00026,CUST-2022,2024-10-13 20:39,Kano,Konga Pay,Polo Shirt,Fashion - Men,2,5500,11000
KNG-2024-00027,CUST-2688,2024-06-19 20:51,Lagos,Bank Transfer,Palazzo Pants,Fashion - Women,2,8000,16000
KNG-2024-00028,CUST-1442,2024-08-28 14:12,Abuja,Card,Rice Cooker,Home & Kitchen,1,25000,25000
KNG-2024-00028,CUST-1442,2024-08-28 14:12,Abuja,Card,Stiletto Heels,Fashion - Women,1,14500,14500
KNG-2024-00028,CUST-1442,2024-08-28 14:12,Abuja,Card,Leather Belt,Fashion - Men,1,4500,4500
KNG-2024-00029,CUST-1284,2024-11-24 19:43,Owerri,Card,Samsung Earbuds,Electronics,1,55000,55000
KNG-2024-00029,CUST-1284,2024-11-24 19:43,Owerri,Card,Samsung Galaxy A54,Phones & Tablets,3,320000,960000
KNG-2024-00031,CUST-3361,2024-08-11 07:33,Lagos,Card,Curtain Set,Home & Kitchen,1,16500,16500
KNG-2024-00032,CUST-3720,2024-12-05 10:46,Kaduna,Bank Transfer,Running Shoes,Sports & Fitness,1,22000,22000
KNG-2024-00032,CUST-3720,2024-12-05 10:46,Kaduna,Bank Transfer,Dark & Lovely Relaxer,Beauty & Personal,1,4200,4200
KNG-2024-00033,CUST-1521,2024-07-13 12:39,Lagos,Bank Transfer,Black Castor Oil,Beauty & Personal,1,3800,3800
KNG-2024-00033,CUST-1521,2024-07-13 12:39,Lagos,Bank Transfer,Yoga Mat,Sports & Fitness,1,9500,9500
KNG-2024-00033,CUST-1521,2024-07-13 12:39,Lagos,Bank Transfer,Dumbbell Set 10kg,Sports & Fitness,2,28000,56000
KNG-2024-00033,CUST-1521,2024-07-13 12:39,Lagos,Bank Transfer,Pears Soap,Beauty & Personal,3,1200,3600
KNG-2024-00033,CUST-1521,2024-07-13 12:39,Lagos,Bank Transfer,Gym Bag,Sports & Fitness,2,11000,22000
KNG-2024-00034,CUST-3698,2024-11-20 17:05,Lagos,Konga Pay,Gym Bag,Sports & Fitness,1,11000,11000
KNG-2024-00035,CUST-1815,2024-08-31 09:29,Lagos,Card,Dumbbell Set 10kg,Sports & Fitness,1,28000,28000
KNG-2024-00035,CUST-1815,2024-08-31 09:29,Lagos,Card,"Smart TV 43""",Electronics,2,215000,430000
KNG-2024-00035,CUST-1815,2024-08-31 09:29,Lagos,Card,Pears Soap,Beauty & Personal,2,1200,2400
KNG-2024-00035,CUST-1815,2024-08-31 09:29,Lagos,Card,Shea Butter Cream,Beauty & Personal,1,3500,3500
KNG-2024-00035,CUST-1815,2024-08-31 09:29,Lagos,Card,Ankara Dress,Fashion - Women,1,12000,12000
KNG-2024-00036,CUST-1720,2024-08-25 08:35,Enugu,Bank Transfer,HP Laptop,Electronics,2,480000,960000
KNG-2024-00036,CUST-1720,2024-08-25 08:35,Enugu,Bank Transfer,Pears Soap,Beauty & Personal,2,1200,2400
KNG-2024-00036,CUST-1720,2024-08-25 08:35,Enugu,Bank Transfer,Notebook 200pg,Books & Stationery,1,2200,2200
KNG-2024-00036,CUST-1720,2024-08-25 08:35,Enugu,Bank Transfer,Ball Point Pens 10pk,Books & Stationery,3,1500,4500
KNG-2024-00036,CUST-1720,2024-08-25 08:35,Enugu,Bank Transfer,A4 Paper Ream,Books & Stationery,1,4800,4800
KNG-2024-00037,CUST-1651,2024-05-12 14:53,Ibadan,Konga Pay,Palazzo Pants,Fashion - Women,1,8000,8000
KNG-2024-00037,CUST-1651,2024-05-12 14:53,Ibadan,Konga Pay,Yoga Mat,Sports & Fitness,1,9500,9500
KNG-2024-00037,CUST-1651,2024-05-12 14:53,Ibadan,Konga Pay,Ankara Dress,Fashion - Women,1,12000,12000
KNG-2024-00038,CUST-2309,2024-03-18 14:24,Benin City,Card,iPad Air,Phones & Tablets,1,780000,780000
KNG-2024-00040,CUST-3358,2024-06-29 16:48,Abuja,Card,Running Shoes,Sports & Fitness,1,22000,22000
KNG-2024-00040,CUST-3358,2024-06-29 16:48,Abuja,Card,Resistance Bands,Sports & Fitness,1,5500,5500
KNG-2024-00040,CUST-3358,2024-06-29 16:48,Abuja,Card,Yoga Mat,Sports & Fitness,1,9500,9500
KNG-2024-00040,CUST-3358,2024-06-29 16:48,Abuja,Card,Dumbbell Set 10kg,Sports & Fitness,1,28000,28000
KNG-2024-00040,CUST-3358,2024-06-29 16:48,Abuja,Card,Blender,Home & Kitchen,1,18000,18000
KNG-2024-00040,CUST-3358,2024-06-29 16:48,Abuja,Card,Gym Bag,Sports & Fitness,1,11000,11000
KNG-2024-00041,CUST-2613,2024-02-12 20:08,Port Harcourt,Bank Transfer,Infinix Hot 40,Phones & Tablets,1,95000,95000
KNG-2024-00042,CUST-1866,2024-07-13 15:48,Abuja,Konga Pay,Lace Blouse,Fashion - Women,2,9500,19000
KNG-2024-00042,CUST-1866,2024-07-13 15:48,Abuja,Konga Pay,JBL Speaker,Electronics,1,42000,42000
KNG-2024-00043,CUST-2433,2024-11-29 08:48,Lagos,Card,HP Laptop,Electronics,1,480000,480000
KNG-2024-00043,CUST-2433,2024-11-29 08:48,Lagos,Card,Ankara Dress,Fashion - Women,1,12000,12000
KNG-2024-00045,CUST-1670,2024-01-14 16:36,Owerri,Card,Agbada Set,Fashion - Men,1,35000,35000
KNG-2024-00045,CUST-1670,2024-01-14 16:36,Owerri,Card,WAEC Past Questions,Books & Stationery,2,3500,7000
KNG-2024-00047,CUST-3182,2024-09-16 17:00,Abuja,Konga Pay,Nivea Body Lotion,Beauty & Personal,2,2800,5600
KNG-2024-00047,CUST-3182,2024-09-16 17:00,Abuja,Konga Pay,Anker Powerbank,Electronics,1,18500,18500
KNG-2024-00047,CUST-3182,2024-09-16 17:00,Abuja,Konga Pay,Curtain Set,Home & Kitchen,1,16500,16500
KNG-2024-00048,CUST-1721,2024-05-18 22:29,Ibadan,USSD,Black Castor Oil,Beauty & Personal,2,3800,7600
KNG-2024-00048,CUST-1721,2024-05-18 22:29,Ibadan,USSD,Nivea Body Lotion,Beauty & Personal,1,2800,2800
KNG-2024-00048,CUST-1721,2024-05-18 22:29,Ibadan,USSD,Pears Soap,Beauty & Personal,1,1200,1200
KNG-2024-00049,CUST-3499,2024-09-10 17:11,Kano,Konga Pay,Golden Penny Pasta,Food & Groceries,3,3500,10500
KNG-2024-00049,CUST-3499,2024-09-10 17:11,Kano,Konga Pay,iPhone 15 Pro,Phones & Tablets,1,950000,950000
KNG-2024-00049,CUST-3499,2024-09-10 17:11,Kano,Konga Pay,Dangote Sugar 1kg,Food & Groceries,2,2200,4400
KNG-2024-00049,CUST-3499,2024-09-10 17:11,Kano,Konga Pay,Pampers Diapers L,Baby Products,1,12500,12500
KNG-2024-00050,CUST-1984,2024-09-08 21:50,Kano,Bank Transfer,Stiletto Heels,Fashion - Women,1,14500,14500
KNG-2024-00050,CUST-1984,2024-09-08 21:50,Kano,Bank Transfer,Polo Shirt,Fashion - Men,1,5500,5500
KNG-2024-00050,CUST-1984,2024-09-08 21:50,Kano,Bank Transfer,Leather Belt,Fashion - Men,1,4500,4500
KNG-2024-00051,CUST-2742,2024-06-29 21:17,Warri,Bank Transfer,Agbada Set,Fashion - Men,2,35000,70000
KNG-2024-00051,CUST-2742,2024-06-29 21:17,Warri,Bank Transfer,Stiletto Heels,Fashion - Women,1,14500,14500
KNG-2024-00051,CUST-2742,2024-06-29 21:17,Warri,Bank Transfer,Ankara Dress,Fashion - Women,1,12000,12000
KNG-2024-00052,CUST-3148,2024-04-09 16:14,Port Harcourt,USSD,Palazzo Pants,Fashion - Women,3,8000,24000
KNG-2024-00052,CUST-3148,2024-04-09 16:14,Port Harcourt,USSD,Polo Shirt,Fashion - Men,1,5500,5500
KNG-2024-00053,CUST-3856,2024-09-08 10:55,Kaduna,Bank Transfer,Infinix Hot 40,Phones & Tablets,3,95000,285000
KNG-2024-00053,CUST-3856,2024-09-08 10:55,Kaduna,Bank Transfer,Chinos Trouser,Fashion - Men,1,8500,8500
KNG-2024-00053,CUST-3856,2024-09-08 10:55,Kaduna,Bank Transfer,Leather Belt,Fashion - Men,2,4500,9000
KNG-2024-00054,CUST-2641,2024-12-17 08:09,Abuja,Bank Transfer,Black Castor Oil,Beauty & Personal,1,3800,3800
KNG-2024-00054,CUST-2641,2024-12-17 08:09,Abuja,Bank Transfer,Infant Formula,Baby Products,1,18500,18500
KNG-2024-00054,CUST-2641,2024-12-17 08:09,Abuja,Bank Transfer,Pears Soap,Beauty & Personal,1,1200,1200
KNG-2024-00054,CUST-2641,2024-12-17 08:09,Abuja,Bank Transfer,Baby Carrier,Baby Products,2,15000,30000
KNG-2024-00054,CUST-2641,2024-12-17 08:09,Abuja,Bank Transfer,Nivea Body Lotion,Beauty & Personal,3,2800,8400
KNG-2024-00054,CUST-2641,2024-12-17 08:09,Abuja,Bank Transfer,Leather Belt,Fashion - Men,1,4500,4500
KNG-2024-00055,CUST-3543,2024-02-20 13:40,Lagos,USSD,Resistance Bands,Sports & Fitness,1,5500,5500
KNG-2024-00055,CUST-3543,2024-02-20 13:40,Lagos,USSD,Infant Formula,Baby Products,1,18500,18500
KNG-2024-00055,CUST-3543,2024-02-20 13:40,Lagos,USSD,HP Laptop,Electronics,2,480000,960000
KNG-2024-00055,CUST-3543,2024-02-20 13:40,Lagos,USSD,Pears Soap,Beauty & Personal,2,1200,2400
KNG-2024-00055,CUST-3543,2024-02-20 13:40,Lagos,USSD,Notebook 200pg,Books & Stationery,1,2200,2200
KNG-2024-00056,CUST-3815,2024-11-16 13:27,Lagos,Card,Ankara Dress,Fashion - Women,1,12000,12000
KNG-2024-00057,CUST-2259,2024-05-27 21:07,Port Harcourt,Pay on Delivery,Infant Formula,Baby Products,2,18500,37000
KNG-2024-00057,CUST-2259,2024-05-27 21:07,Port Harcourt,Pay on Delivery,JBL Speaker,Electronics,2,42000,84000
KNG-2024-00058,CUST-3472,2024-12-11 07:48,Lagos,Card,Tecno Spark 20,Phones & Tablets,2,115000,230000
KNG-2024-00058,CUST-3472,2024-12-11 07:48,Lagos,Card,Cerelac Wheat 1kg,Baby Products,1,6800,6800
KNG-2024-00060,CUST-2425,2024-02-23 12:21,Abuja,Konga Pay,Rice Cooker,Home & Kitchen,1,25000,25000
KNG-2024-00060,CUST-2425,2024-02-23 12:21,Abuja,Konga Pay,Tecno Spark 20,Phones & Tablets,1,115000,115000
KNG-2024-00060,CUST-2425,2024-02-23 12:21,Abuja,Konga Pay,Notebook 200pg,Books & Stationery,1,2200,2200
KNG-2024-00060,CUST-2425,2024-02-23 12:21,Abuja,Konga Pay,Pampers Diapers L,Baby Products,2,12500,25000
KNG-2024-00061,CUST-3107,2024-10-04 21:26,Enugu,Card,Ball Point Pens 10pk,Books & Stationery,1,1500,1500
KNG-2024-00061,CUST-3107,2024-10-04 21:26,Enugu,Card,Notebook 200pg,Books & Stationery,1,2200,2200
KNG-2024-00061,CUST-3107,2024-10-04 21:26,Enugu,Card,WAEC Past Questions,Books & Stationery,1,3500,3500
KNG-2024-00062,CUST-3860,2024-11-18 14:45,Abuja,Card,Notebook 200pg,Books & Stationery,3,2200,6600
KNG-2024-00062,CUST-3860,2024-11-18 14:45,Abuja,Card,WAEC Past Questions,Books & Stationery,1,3500,3500
KNG-2024-00063,CUST-1630,2024-09-17 15:26,Abuja,Bank Transfer,Black Castor Oil,Beauty & Personal,1,3800,3800
KNG-2024-00063,CUST-1630,2024-09-17 15:26,Abuja,Bank Transfer,Ankara Dress,Fashion - Women,3,12000,36000
KNG-2024-00063,CUST-1630,2024-09-17 15:26,Abuja,Bank Transfer,Pampers Diapers L,Baby Products,1,12500,12500
KNG-2024-00064,CUST-1559,2024-07-31 17:59,Benin City,Card,iPhone 15 Pro,Phones & Tablets,1,950000,950000
KNG-2024-00064,CUST-1559,2024-07-31 17:59,Benin City,Card,Gele Headtie,Fashion - Women,1,6500,6500
KNG-2024-00065,CUST-3703,2024-10-02 22:22,Abuja,Card,WAEC Past Questions,Books & Stationery,1,3500,3500
KNG-2024-00065,CUST-3703,2024-10-02 22:22,Abuja,Card,Ball Point Pens 10pk,Books & Stationery,2,1500,3000
KNG-2024-00065,CUST-3703,2024-10-02 22:22,Abuja,Card,Notebook 200pg,Books & Stationery,1,2200,2200
KNG-2024-00065,CUST-3703,2024-10-02 22:22,Abuja,Card,Cerelac Wheat 1kg,Baby Products,2,6800,13600
KNG-2024-00065,CUST-3703,2024-10-02 22:22,Abuja,Card,JAMB CBT Guide,Books & Stationery,2,4200,8400
KNG-2024-00066,CUST-2561,2024-11-29 11:31,Abuja,Bank Transfer,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00067,CUST-1411,2024-09-26 21:00,Benin City,Konga Pay,Dumbbell Set 10kg,Sports & Fitness,2,28000,56000
KNG-2024-00067,CUST-1411,2024-09-26 21:00,Benin City,Konga Pay,"Smart TV 43""",Electronics,1,215000,215000
KNG-2024-00067,CUST-1411,2024-09-26 21:00,Benin City,Konga Pay,iPad Air,Phones & Tablets,1,780000,780000
KNG-2024-00068,CUST-2628,2024-12-11 19:20,Port Harcourt,Pay on Delivery,Caprisonne Juice,Food & Groceries,1,4200,4200
KNG-2024-00068,CUST-2628,2024-12-11 19:20,Port Harcourt,Pay on Delivery,Tecno Spark 20,Phones & Tablets,1,115000,115000
KNG-2024-00070,CUST-1681,2024-01-24 17:50,Kano,USSD,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00070,CUST-1681,2024-01-24 17:50,Kano,USSD,Dangote Sugar 1kg,Food & Groceries,2,2200,4400
KNG-2024-00070,CUST-1681,2024-01-24 17:50,Kano,USSD,Milo 400g,Food & Groceries,1,5800,5800
KNG-2024-00071,CUST-1986,2024-04-28 21:40,Abuja,Bank Transfer,Gym Bag,Sports & Fitness,1,11000,11000
KNG-2024-00071,CUST-1986,2024-04-28 21:40,Abuja,Bank Transfer,Caprisonne Juice,Food & Groceries,3,4200,12600
KNG-2024-00071,CUST-1986,2024-04-28 21:40,Abuja,Bank Transfer,Gele Headtie,Fashion - Women,3,6500,19500
KNG-2024-00072,CUST-2225,2024-05-08 21:54,Port Harcourt,Konga Pay,Resistance Bands,Sports & Fitness,3,5500,16500
KNG-2024-00072,CUST-2225,2024-05-08 21:54,Port Harcourt,Konga Pay,Yoga Mat,Sports & Fitness,1,9500,9500
KNG-2024-00073,CUST-2124,2024-01-26 22:53,Lagos,Pay on Delivery,Leather Belt,Fashion - Men,2,4500,9000
KNG-2024-00073,CUST-2124,2024-01-26 22:53,Lagos,Pay on Delivery,JAMB CBT Guide,Books & Stationery,1,4200,4200
KNG-2024-00074,CUST-1778,2024-12-03 11:40,Port Harcourt,Bank Transfer,Samsung Earbuds,Electronics,3,55000,165000
KNG-2024-00074,CUST-1778,2024-12-03 11:40,Port Harcourt,Bank Transfer,HP Laptop,Electronics,1,480000,480000
KNG-2024-00075,CUST-2701,2024-10-03 18:33,Lagos,Card,Ball Point Pens 10pk,Books & Stationery,1,1500,1500
KNG-2024-00075,CUST-2701,2024-10-03 18:33,Lagos,Card,Gele Headtie,Fashion - Women,3,6500,19500
KNG-2024-00075,CUST-2701,2024-10-03 18:33,Lagos,Card,Blender,Home & Kitchen,1,18000,18000
KNG-2024-00075,CUST-2701,2024-10-03 18:33,Lagos,Card,Polo Shirt,Fashion - Men,3,5500,16500
KNG-2024-00075,CUST-2701,2024-10-03 18:33,Lagos,Card,Leather Belt,Fashion - Men,2,4500,9000
KNG-2024-00077,CUST-3197,2024-12-10 15:37,Lagos,Konga Pay,Indomie Noodles (40pk),Food & Groceries,1,7500,7500
KNG-2024-00077,CUST-3197,2024-12-10 15:37,Lagos,Konga Pay,Milo 400g,Food & Groceries,2,5800,11600
KNG-2024-00077,CUST-3197,2024-12-10 15:37,Lagos,Konga Pay,Baby Carrier,Baby Products,3,15000,45000
KNG-2024-00077,CUST-3197,2024-12-10 15:37,Lagos,Konga Pay,Leather Belt,Fashion - Men,1,4500,4500
KNG-2024-00078,CUST-2672,2024-01-20 16:31,Lagos,Card,Stiletto Heels,Fashion - Women,2,14500,29000
KNG-2024-00078,CUST-2672,2024-01-20 16:31,Lagos,Card,Baby Wipes 80ct,Baby Products,1,3200,3200
KNG-2024-00078,CUST-2672,2024-01-20 16:31,Lagos,Card,Ball Point Pens 10pk,Books & Stationery,2,1500,3000
KNG-2024-00079,CUST-3521,2024-01-17 18:13,Abuja,USSD,Lace Blouse,Fashion - Women,1,9500,9500
KNG-2024-00079,CUST-3521,2024-01-17 18:13,Abuja,USSD,Infinix Hot 40,Phones & Tablets,1,95000,95000
KNG-2024-00079,CUST-3521,2024-01-17 18:13,Abuja,USSD,Gele Headtie,Fashion - Women,2,6500,13000
KNG-2024-00079,CUST-3521,2024-01-17 18:13,Abuja,USSD,Shea Butter Cream,Beauty & Personal,1,3500,3500
KNG-2024-00080,CUST-3714,2024-01-11 08:50,Lagos,Bank Transfer,Baby Wipes 80ct,Baby Products,2,3200,6400
KNG-2024-00080,CUST-3714,2024-01-11 08:50,Lagos,Bank Transfer,Infant Formula,Baby Products,2,18500,37000
KNG-2024-00080,CUST-3714,2024-01-11 08:50,Lagos,Bank Transfer,Leather Belt,Fashion - Men,1,4500,4500
KNG-2024-00080,CUST-3714,2024-01-11 08:50,Lagos,Bank Transfer,Pampers Diapers L,Baby Products,1,12500,12500
KNG-2024-00081,CUST-1592,2024-03-30 10:42,Warri,Konga Pay,iPhone 15 Pro,Phones & Tablets,2,950000,1900000
KNG-2024-00083,CUST-1260,2024-09-19 10:28,Abuja,Pay on Delivery,Black Castor Oil,Beauty & Personal,1,3800,3800
KNG-2024-00083,CUST-1260,2024-09-19 10:28,Abuja,Pay on Delivery,Dumbbell Set 10kg,Sports & Fitness,1,28000,28000
KNG-2024-00084,CUST-2645,2024-12-30 21:04,Abuja,Card,Infant Formula,Baby Products,1,18500,18500
KNG-2024-00084,CUST-2645,2024-12-30 21:04,Abuja,Card,"Smart TV 43""",Electronics,1,215000,215000
KNG-2024-00085,CUST-3397,2024-11-01 16:29,Port Harcourt,Konga Pay,Dumbbell Set 10kg,Sports & Fitness,2,28000,56000
KNG-2024-00085,CUST-3397,2024-11-01 16:29,Port Harcourt,Konga Pay,Gym Bag,Sports & Fitness,1,11000,11000
KNG-2024-00085,CUST-3397,2024-11-01 16:29,Port Harcourt,Konga Pay,Nivea Body Lotion,Beauty & Personal,2,2800,5600
KNG-2024-00086,CUST-2633,2024-08-06 17:42,Abuja,Card,Baby Wipes 80ct,Baby Products,2,3200,6400
KNG-2024-00086,CUST-2633,2024-08-06 17:42,Abuja,Card,Infant Formula,Baby Products,2,18500,37000
KNG-2024-00086,CUST-2633,2024-08-06 17:42,Abuja,Card,Pampers Diapers L,Baby Products,1,12500,12500
KNG-2024-00087,CUST-3402,2024-12-09 10:26,Owerri,Bank Transfer,Dumbbell Set 10kg,Sports & Fitness,1,28000,28000
KNG-2024-00087,CUST-3402,2024-12-09 10:26,Owerri,Bank Transfer,Resistance Bands,Sports & Fitness,2,5500,11000
KNG-2024-00087,CUST-3402,2024-12-09 10:26,Owerri,Bank Transfer,"Smart TV 43""",Electronics,1,215000,215000
KNG-2024-00088,CUST-3278,2024-10-20 14:51,Abuja,Pay on Delivery,WAEC Past Questions,Books & Stationery,1,3500,3500
KNG-2024-00090,CUST-3593,2024-09-28 13:24,Owerri,Card,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00090,CUST-3593,2024-09-28 13:24,Owerri,Card,Indomie Noodles (40pk),Food & Groceries,2,7500,15000
KNG-2024-00091,CUST-1203,2024-12-04 20:31,Kano,Card,Palazzo Pants,Fashion - Women,1,8000,8000
KNG-2024-00091,CUST-1203,2024-12-04 20:31,Kano,Card,Notebook 200pg,Books & Stationery,1,2200,2200
KNG-2024-00091,CUST-1203,2024-12-04 20:31,Kano,Card,Ankara Shirt,Fashion - Men,1,7200,7200
KNG-2024-00092,CUST-3779,2024-06-06 08:14,Port Harcourt,Konga Pay,Nivea Body Lotion,Beauty & Personal,2,2800,5600
KNG-2024-00092,CUST-3779,2024-06-06 08:14,Port Harcourt,Konga Pay,JAMB CBT Guide,Books & Stationery,1,4200,4200
KNG-2024-00092,CUST-3779,2024-06-06 08:14,Port Harcourt,Konga Pay,Pears Soap,Beauty & Personal,1,1200,1200
KNG-2024-00093,CUST-3037,2024-07-13 14:32,Ibadan,Card,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00093,CUST-3037,2024-07-13 14:32,Ibadan,Card,Indomie Noodles (40pk),Food & Groceries,2,7500,15000
